Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"Dell 429-AAUQ Quemador de DVD, DVD±RW 8x, USB 2.0, Externo, Negro",429-AAUQ,$934.00,$629.00,$99.00,675
"Memoria RAM XPG Spectrix D50 RGB DDR4, 3600MHz, 8GB, CL18, XMP",AX4U36008G18I-ST50,$637.00,$487.00,$99.00,91
"Fuente de Poder Balam Rush BR-931151 80 PLUS Bronze, ATX, 450W",BR-931151,$750.00,$619.00,$99.00,8
"Disco Duro para Servidor Seagate Exos X16 16TB SATA III 7200RPM 3.5"" 6Gbit/s",T16000NM001G,"$5,929.00","$3,769.00",$99.00,3
"Laptop Gamer Lenovo Notebook Legion 5 15ACH6H 15.6"" Full HD, AMD Ryzen 5 5600H 3.30GHz,16GB, 512GB SSD, NVIDIA GeForce RTX 3050 Ti, Windows 11 Home 64-bit, Español, Plata",82JW00LTLM,"$32,556.00","$21,139.00",$99.00,32
"SSD XPG GAMMIX S11 Pro, 512GB, PCI Express 3.0 x4, M.2",AGAMMIXS11P-512GT-C,$711.00,$569.00,$99.00,14
"SSD Adata Ultimate SU630 QLC 3D, 960GB, SATA, 2.5"", 7mm",ASU630SS-960GQ-R,$739.00,$599.00,$99.00,1055
"Logitech Audífonos Gamer G335 para PC/Xbox/PS4/Nintendo Switch, Alámbrico, 3.5mm, Negro",981-000977,"$1,352.00",$969.00,$99.00,4
"Monitor BenQ GW2280 LED 21.5'', Full HD, HDMI, Negro",9H.LH4LB.QBL,"$2,330.00","$1,979.00",$149.00,39
"Tarjeta Madre Gigabyte AORUS X507S Master, S-AM4, AMD X507, USB 3.2, 128GB DDR4 para AMD ― Requiere Actualización de BIOS para la Serie Ryzen 5000",X570S AORUS MASTER,"$8,278.00","$6,499.00",$99.00,7
"Kit Gamer 3 en 1 Corsair Teclado K60 RGB Pro + Mouse Harpoon RGB Pro + Mousepad MM300, Alámbrico, USB, Negro (Inglés)",CH-910D519-SP,"$1,993.00","$1,419.00",$99.00,609
"Memoria Flash SanDisk para Nintendo Switch, 128GB MicroSDXC Clase 3",DSQXAO-128G-GNCZN,$505.00,$360.00,$99.00,112
"Multifuncional Brother DCP-T520W InkBenefit Tank, Color, Inyección, Tanque de Tinta, Inalámbrico, Print/Scan/Copy",DCP-T520W,"$4,258.00","$3,269.00",$154.00,83
"Procesador AMD Ryzen 7 5800X3D, S-AM4, 3.40GHz, 8-Core, 96MB L3 Cache - no incluye Disipador",100-100000651WOF,"$7,330.00","$6,119.00",$99.00,2
"Tarjeta de Video ASUS NVIDIA Phoenix GeForce RTX 3050 8G, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0HH2-M0NA00,"$5,643.00","$4,149.00",$99.00,62
"Disco Duro para Videovigilancia Western Digital WD Purple Surveillance 3.5"", 3TB, SATA III, 6 Gbit/s, 5400 RPM, 64MB Caché",WD33PURZ,"$1,994.00","$1,489.00",$99.00,10
"Mouse Logitech Óptico POP, Inalámbrico, 4000DPI, Violeta/Menta",910-006550,$597.00,$469.00,$99.00,¡1
"Disco Duro para Servidor Western Digital WD Ultrastar 4TB SATA III 7200RPM 3.5"" 6 Gbit/s",0B35950,"$4,609.00","$2,969.00",$99.00,2
"Monitor AOC 22B2HN LED 21.5"", Full HD, 75Hz, HDMI, Negro",22B2HN,"$2,108.00","$1,529.00",$144.00,121
"Tarjeta de Video Gigabyte NVIDIA GeForce GTX 1660 OC, 6GB 192-bit GDDR5, PCI Express x16 3.0",GV-N1660OC-6GD,"$6,783.00","$5,509.00",$99.00,27
"Laptop Gamer Lenovo Legion 5 15IAH7H 15.6"" Full HD, Intel Core i5-12500H 3.30GHz, 8GB, 1TB SSD, NVIDIA GeForce RTX 3060, Windows 11 Home 64-bits, Español, Gris",82RB00PBLM,"$26,350.00","$21,379.00",$99.00,168
"Monitor Gamer Balam Rush Odissey LED 23.8"" Full HD, FreeSync, 144Hz, HDMI, Negro",BR-932417,"$3,210.00","$2,439.00",$144.00,23
